Date,Code,Low,High,Open,Amount,Close,ForwardFactor,Volume
2025-09-03,002812.SZ,32.56,33.68,32.7,111828.23,32.73,0.0,33804896.0
2025-09-04,002812.SZ,32.99,34.99,33.04,187157.13,33.62,0.0,54931876.0
2025-09-05,002812.SZ,33.59,36.98,33.6,199830.72,36.98,0.0,55949072.0
2025-09-08,002812.SZ,38.58,40.5,39.0,364417.06,39.6,0.0,92459872.0
2025-09-09,002812.SZ,38.73,41.08,39.52,275194.97,39.6,0.0,69589264.0
2025-09-10,002812.SZ,38.78,43.56,38.8,264380.78,43.56,0.0,64269280.0
2025-09-11,002812.SZ,43.0,46.2,44.1,391547.91,45.48,0.0,87198480.0
2025-09-12,002812.SZ,42.68,45.48,44.85,301646.16,43.21,0.0,68981616.0
2025-09-15,002812.SZ,43.03,44.73,43.05,236988.91,43.56,0.0,53844080.0
2025-09-16,002812.SZ,41.8,44.79,43.3,246641.92,44.26,0.0,57245452.0
2025-09-17,002812.SZ,43.03,44.7,44.25,173871.78,44.41,0.0,39543952.0
2025-09-18,002812.SZ,42.4,44.36,44.21,167637.63,42.83,0.0,38620400.0
2025-09-19,002812.SZ,42.58,44.0,42.7,132169.89,42.86,0.0,30525806.0
2025-09-22,002812.SZ,41.68,43.97,42.7,119016.22,41.97,0.0,28223800.0
2025-09-23,002812.SZ,39.8,42.39,42.09,140231.36,40.54,0.0,34376896.0
